Filename,                             Predictions
fresh cotton leaf\d (67)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (7)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (75)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (76)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (8)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (83)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (95)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton plant\dsd (140)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (153)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (160)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (195)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (221)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (223).jpg,fresh cotton plant
fresh cotton plant\dsd (228).jpg,fresh cotton plant
fresh cotton plant\dsd (262)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (264)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (275)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (277)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (279)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (292)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (366)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (382)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (405).jpg,fresh cotton plant
fresh cotton plant\dsd (409)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (420)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (450)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (465)_iaip.jpg,diseased cotton plant
fresh cotton plant\dsd (507)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (518)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (579)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (591)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (600).jpg,fresh cotton plant
fresh cotton plant\dsd (621)_iaip.jpg,fresh cotton plant
fresh cotton plant\dsd (632).jpg,fresh cotton plant
